V1	V2	V3	V4	V5	V6	V7
Corynebacterium_SGB1956	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB1956
Corynebacterium_SGB6369	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB6369
Corynebacterium_SGB6370	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB6370
Corynebacterium_SGB6371	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB6371
Corynebacterium_SGB6372	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_SGB6372
Corynebacterium_argentoratense	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_argentoratense
Corynebacterium_dentalis	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_dentalis
Corynebacterium_durum	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_durum
Corynebacterium_variabile	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_variabile
Corynebacterium_vitaeruminis	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__Corynebacterium_vitaeruminis
GGB6016_SGB8648	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Corynebacteriaceae	g__GGB6016	s__GGB6016_SGB8648
Lawsonella_clevelandensis	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Lawsonellaceae	g__Lawsonella	s__Lawsonella_clevelandensis
GGB80093_SGB1810	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Mycobacteriaceae	g__GGB80093	s__GGB80093_SGB1810
Nocardia_seriolae	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__Nocardia_seriolae
Brevibacterium_linens	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium_linens
Cellulomonas_flavigena	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_flavigena
Clavibacter_michiganensis	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter_michiganensis
Cryobacterium_SGB4870	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium_SGB4870
Curtobacterium_sp_9128	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium_sp_9128
Microbacterium_SGB55573	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_SGB55573
Pseudoglutamicibacter_SGB14255	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Micrococcaceae	g__Pseudoglutamicibacter	s__Pseudoglutamicibacter_SGB14255
Rothia_aeria	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__Rothia_aeria
Rothia_mucilaginosa	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__Rothia_mucilaginosa
Isoptericola_variabilis	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola	s__Isoptericola_variabilis
Sanguibacter_SGB15121	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	s__Sanguibacter_SGB15121
Sanguibacter_SGB53806	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	s__Sanguibacter_SGB53806
Tropheryma_whipplei	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Micrococcales	f__Tropherymataceae	g__Tropheryma	s__Tropheryma_whipplei
Arachnia_SGB15898	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Arachnia	s__Arachnia_SGB15898
Arachnia_SGB15899	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Arachnia	s__Arachnia_SGB15899
Cutibacterium_acnes	k__Bacteria	p__Actinobacteria	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium_acnes
